index,iso3_o,iso3_d,tradeflow,year,gdp_o,gdp_d,dist,tradevalue
3070,BGD,LVA,1,2003,51913662.464,11186452.48,6398.0,6.703000068664551
3071,BGD,LVA,1,2004,56560742.4,13761569.792,6398.0,287.5309960953891
3072,BGD,LVA,1,2005,60277559.296,16041840.64,6398.0,334.3870029449463
3073,BGD,LVA,1,2006,71819091.968,19935045.632,6398.0,174.31300270557404
3074,BGD,LVA,1,2007,79611887.616,28765687.808,6398.0,653.935001373291
3075,BGD,LVA,1,2008,91631280.128,33669367.808,6398.0,50.439000114798546
3076,BGD,LVA,1,2009,102477791.232,25875781.632,6398.0,3747.210956785828
3077,BGD,LVA,1,2010,115279077.376,24009680.896,6398.0,5977.247032687068
3078,BGD,LVA,1,2011,128637935.616,28480337.92,6398.0,13462.976452857256
3079,BGD,LVA,1,2012,133355741.184,28372578.304,6398.0,37229.36507511139
3080,BGD,LVA,1,2013,149990457.344,30956691.456,6398.0,20533.6538823843
3081,BGD,LVA,1,2015,195078553.6,27026036.736,6398.0,14234.226665162481
3082,BGD,LVA,2,2003,51913662.464,11186452.48,6398.0,52.15199863910675
3083,BGD,LVA,2,2004,56560742.4,13761569.792,6398.0,347.8309959024191
3084,BGD,LVA,2,2005,60277559.296,16041840.64,6398.0,510.274993956089
3085,BGD,LVA,2,2006,71819091.968,19935045.632,6398.0,263.9409965276718
3086,BGD,LVA,2,2007,79611887.616,28765687.808,6398.0,1161.5659755319357
3087,BGD,LVA,2,2008,91631280.128,33669367.808,6398.0,305.83300008252263
3088,BGD,LVA,2,2009,102477791.232,25875781.632,6398.0,614.1559950187802
3089,BGD,LVA,2,2010,115279077.376,24009680.896,6398.0,1152.150006890297
3090,BGD,LVA,2,2011,128637935.616,28480337.92,6398.0,1652.5430129170418
3091,BGD,LVA,2,2012,133355741.184,28372578.304,6398.0,1759.0449731945992
3092,BGD,LVA,2,2013,149990457.344,30956691.456,6398.0,5096.268090248109
3093,BGD,LVA,2,2015,195078553.6,27026036.736,6398.0,4368.281988263131
3756,BGD,NLD,1,1998,44091752.448,431174189.056,7659.0,72733.09606945515
3757,BGD,NLD,1,2000,47124926.464,413396893.696,7659.0,59565.733022208784
3758,BGD,NLD,1,2001,46987841.536,426091282.432,7659.0,44212.50489808142
3759,BGD,NLD,1,2002,47571128.32,464478633.984,7659.0,47065.97679543367
